price,min_to_metro,floor,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,reg_ЗАО,reg_САО,reg_СВАО,reg_СЗАО,reg_ЦАО,reg_ЮАО,reg_ЮВАО,reg_ЮЗАО
16900000.0,7.0,6.0,2024.0,1.0,0.0,,2.0,False,False,False,True,False,False,False,False
46966924.0,5.0,44.0,2024.0,1.0,0.0,2.9,2.0,True,False,False,False,False,False,False,False
18029400.0,16.0,7.0,2023.0,1.0,0.0,2.84,2.0,False,True,False,False,False,False,False,False
19800000.0,10.0,9.0,2024.0,1.0,0.0,4.4,2.0,False,False,False,True,False,False,False,False
11784950.0,9.0,12.0,2024.0,1.0,1.0,2.8,2.0,False,False,False,False,False,False,False,False
34085000.0,14.0,10.0,2022.0,1.0,0.0,,2.0,False,False,False,False,False,False,False,True
13290010.0,9.0,20.0,2024.0,1.0,1.0,2.8,2.0,False,False,False,False,False,False,False,False
40799069.0,25.0,8.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,True,False,False
33786748.0,7.0,23.0,2023.0,1.0,0.0,2.97,2.0,False,False,False,False,False,True,False,False
29576436.0,6.0,2.0,2024.0,1.0,0.0,3.17,2.0,False,False,False,False,False,False,False,True
34335474.0,22.0,2.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,True,False,False
31520784.0,10.0,33.0,2023.0,1.0,0.0,4.2,2.0,False,True,False,False,False,False,False,False
34785711.0,20.0,11.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,True,False,False
15836476.0,6.0,2.0,2021.0,1.0,0.0,2.63,2.0,True,False,False,False,False,False,False,False
21286313.0,12.0,10.0,2020.0,1.0,1.0,3.3,2.0,True,False,False,False,False,False,False,False
21000000.0,9.0,13.0,2024.0,1.0,0.0,3.0,2.0,False,False,False,False,False,True,False,False
27500000.0,5.0,17.0,2023.0,1.0,0.0,,2.0,False,False,False,True,False,False,False,False
29775786.0,5.0,2.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,False,False,False,False,False
147160000.0,1.0,6.0,2023.0,1.0,1.0,,2.0,False,False,False,False,True,False,False,False
73395040.0,6.0,7.0,2023.0,1.0,0.0,3.25,2.0,False,False,False,True,False,False,False,False
22553000.0,9.0,7.0,2022.0,1.0,0.0,,2.0,False,False,True,False,False,False,False,False
45357109.0,4.0,15.0,2021.0,1.0,1.0,,2.0,False,False,True,False,False,False,False,False
32810400.0,12.0,2.0,2024.0,1.0,0.0,3.0,2.0,False,False,True,False,False,False,False,False
80000000.0,1.0,25.0,2015.0,1.0,1.0,,2.0,False,False,False,False,True,False,False,False
19700000.0,26.0,5.0,2024.0,1.0,0.0,3.0,2.0,False,False,False,True,False,False,False,False
28900000.0,8.0,14.0,2023.0,1.0,0.0,,2.0,False,False,False,False,False,True,False,False
23688668.0,17.0,5.0,2024.0,1.0,0.0,2.87,2.0,False,False,False,False,False,False,True,False
30048408.0,2.0,14.0,2024.0,1.0,0.0,3.65,2.0,False,False,False,False,False,False,False,True
126980000.0,5.0,1.0,2023.0,1.0,1.0,3.1,2.0,False,False,False,True,False,False,False,False
35124125.0,5.0,13.0,2024.0,1.0,0.0,2.9,2.0,True,False,False,False,False,False,False,False
15625394.0,10.0,12.0,2021.0,1.0,0.0,2.63,2.0,True,False,False,False,False,False,False,False
30500000.0,14.0,28.0,2024.0,1.0,0.0,,2.0,False,False,False,True,False,False,False,False
29350000.0,8.0,3.0,2024.0,1.0,0.0,,2.0,False,False,False,True,False,False,False,False
29201900.0,19.0,12.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,False,True,False
29862660.0,19.0,21.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,False,True,False
25368000.0,,40.0,2023.0,1.0,0.0,3.05,2.0,False,False,False,True,False,False,False,False
25178208.0,6.0,15.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,False,False,True,False,False
20535330.0,4.0,23.0,2022.0,1.0,1.0,3.0,2.0,True,False,False,False,False,False,False,False
30064650.0,13.0,24.0,2021.0,1.0,0.0,3.1,2.0,False,False,False,False,False,False,False,True
